uid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
VT010_4A,0.004107692822279571,0.0029605920497983254,0.0005205907804830778,7.032692586427117e-05,-0.001512028906081822,-0.0015549111779502764,0.00019468551428279885,0.00039623219206455013,-0.0003520634520400385,-0.0007208509901087766,-0.0025283387493642683,-0.002491888818276079,0.0006385170281213358,-0.00023199309080835576,0.0005034378717356956,0.0004069527600316649,-0.0006415187871521282,-0.002609815065914342,-0.0012247176845631524,0.0004069527600316649,-0.0015034524517081275,-0.0014648584070265178,-0.0009952975300669064,-0.0007894626250983056,-0.0017993401276004868,0.00081219022918859,0.0017877619141960044,0.003072085956656316,0.0024695900369044845,0.0030870947518102754,0.003340100155834176,-0.00037779281516111304,-0.0015999375634121603,-0.0011303766864525443,-0.0018529429674360607,0.000728569799045099,0.000752155048572751,0.0015797828956339857,-0.0007401480124495813,-0.00040137806468876506,0.0015583417596997562,0.00340227945004344,0.0012217159255323623,0.002523192876740056,0.00026115303567890766,0.001326777491610083,0.001020169247750611,0.004414301066139044,0.0046480094478221394,0.005061823371352757,0.012576941516299983,0.025004223903779044,0.049357066097876205,0.0845869965514077,0.13777173423626246,0.2204830602161438,0.31869632747647264,0.3016484802951673,-0.1446551965165873,-0.843083046665346,-1.0,-0.6395680726048322,-0.3395058075460792,-0.2213844455708188,-0.15287358392017725,-0.07450837619416406,0.005872298309666609,0.07468333586338738,0.11907291958802144,0.14055050545333853,0.14282755408955364,0.13145303147644521,0.11436230202327137,0.10283769145862331,0.09999459683374458,0.09332854767179281,0.08571908852873497,0.08508871913226865,0.07958906776513895,0.07267001319916327,0.06733545857872714,0.06347605411056592,0.05556641906442889,0.052991338638728014,0.05125460662805547,0.046160192730082684,0.0409156908805703,0.03643234935672304,0.03277020333915674,0.028951537029270585,0.024922747587228976,0.020252868180753923,0.014808963767053209,0.012283197954001046,0.006063124419481245,0.004274933682566556,0.0014296949440943834,-0.005939623476500086,-0.012472737595659629,-0.01776226583063389,-0.020481001867094117,-0.022288489626349613,-0.0268211457628456,-0.02678255171816399,-0.025538965833978713,-0.02574694485254073,-0.028171937326702014,-0.02680184874050479,-0.03155534857712334,-0.03235510294747008,-0.03353222131025924,-0.03140740473917716,-0.031405260625583735,-0.03173545411897086,-0.03396962048331751,-0.03474364549054317,-0.03535257375107527,-0.03501380380331446,-0.035078127211117145,-0.032106385770633024
VT003_12A,0.014100717477070961,-0.0029838051010990596,-0.0018750289557150771,0.0004986889893323117,-0.0024294170284070646,-0.018897085272173327,-0.005677662637419282,0.008517795336581216,0.0017870556371376346,0.015107985947173304,0.021682559992337456,-0.006794247065517237,-0.00817631310589022,-0.01077647124964279,-0.004084772963769062,-0.00763754159862617,-0.016999672572678204,-0.026611668593577335,-0.03037526086171168,-0.021544093112209717,-0.016460901065414167,-0.02175491674548696,-0.021903274117052413,-0.012666075666423934,-0.02240300421074661,-0.0325771965870517,-0.024011510449824764,-0.03570831795535434,-0.04585908548351751,-0.04842020221370021,-0.03905026295693421,-0.04990377592935484,-0.06744117890493521,-0.07107203036693203,-0.07273519458500802,-0.06863584616017288,-0.07176696752847551,-0.08633722307274665,-0.11866351350858938,-0.11617267132283242,-0.06958845665127741,-0.11935064238741888,-0.16655171139337765,-0.16553663464056134,-0.16400621122862286,-0.18503391657734858,-0.19598893722505084,-0.2106138507483198,-0.24448618116152887,-0.292140130564898,-0.31853212613812226,-0.3559025672071907,-0.4219450224019631,-0.50932751425402,-0.6015823745195955,-0.7134828740935235,-0.8164975479389517,-0.9313105369651912,-1.0,-0.9960490089467303,-0.9762081625705283,-0.9447251666677945,-0.8802521762985304,-0.762675055191545,-0.6503841414819184,-0.5726448787816164,-0.5300038468806171,-0.4818111259699839,-0.41024821489643354,-0.33921626704743324,-0.3123167330978008,-0.330728663737346,-0.3487814133720485,-0.324677244634018,-0.22545739618757996,-0.09975185277534998,0.017208413997231685,0.12819534449362505,0.19804043337010166,0.21867772458312876,0.234052233246939,0.2529326608493225,0.27338255327721434,0.2852823761333071,0.3023590904287632,0.3227543248776572,0.3438679213362366,0.3631075299434628,0.37218075445709786,0.3782868315394238,0.3982057607427654,0.41297903163759986,0.4117843643823622,0.4051863654890561,0.42370761208659696,0.4365522371510804,0.436653744826362,0.42931395907522857,0.4206779983935759,0.44537559661786835,0.4516690724853295,0.41187806377492986,0.4069588456651277,0.4263468116439194,0.4315549362141385,0.41904606730635585,0.42131046929340765,0.4212480030316959,0.40949653754716847,0.398900697904309,0.39834630983161695,0.404116630757242,0.4045382780237965,0.4041010141918141,0.39596478360385556,0.39149063760874986,0.37499954451684164,0.3632871204458841,0.3665197494894684,0.3673708523052913
VT003_36B,0.002595147269729436,-0.012478170518736795,0.003912233290080848,0.013570864105991254,-0.034283261300110265,-0.022722172899247817,0.005009804973707034,0.018912379632972005,0.008522034361310818,0.01635137903784424,0.013570864105991254,-0.005161025961228913,-0.008380569566532381,-0.0066244548727304895,0.007204948340959406,0.004790290636981794,0.02454658094225307,-0.005819568971404619,0.008887891589186209,0.0028878330520297514,0.007717148459984947,-0.008600083903257621,-0.017600171708992307,0.0012780612493780241,0.01466843578961744,-0.013502570756787893,-0.007868369447506827,-0.019648972185094513,-0.02447828759304971,-0.04269797754124433,-0.019283114957219124,0.0168635791568698,0.008741548698036058,-0.027771002643928254,-0.02703928818817747,-0.035307661538161374,-0.028575888545254124,-0.009478141250158566,-0.02930760300100492,-0.028941745773129513,0.004497604854681479,-0.028795402881979366,-0.05564932340803327,-0.0562346949726339,-0.07021044107747394,-0.07130801276110015,-0.08433253007346417,-0.0638445253124421,-0.05301515136733045,-0.0786983287641831,-0.10035707665440641,-0.09955219075308054,-0.16269914828437354,-0.2566512844027747,-0.37687196948262913,-0.4901413672328511,-0.5917765051366356,-0.710167904077113,-0.8210226441233573,-0.9623898769744097,-1.0,-0.9167308949355605,-0.8589986243768233,-0.8299495604835171,-0.7471194840925278,-0.641459916682114,-0.6169474824144627,-0.5499956097132656,-0.4733119347505829,-0.36238402325876357,-0.32396901433184716,-0.28087103288812576,-0.2652123435350589,-0.24055356637625733,-0.19965072829978833,-0.13818671401672214,-0.10921082156899097,-0.07496658503985408,-0.052210265466004574,-0.042405291758944,-0.0072829978829061955,0.01730260783032028,0.06537624757314704,0.09508385447662902,0.07605927862710854,0.060034732046166286,0.07766905042976027,0.09376676845627761,0.09398628279300285,0.08557156655186877,0.11571820212880124,0.13247446316549427,0.12852320510444004,0.12274266090400882,0.1162304022478268,0.11059620093854573,0.14154772241680405,0.11081571527527097,0.11498648767305045,0.10320588493546277,0.09566922604122965,0.05805910301563916,0.04693704328822718,0.07130313466472842,0.06427867588952085,0.026302695636054963,0.03486375476833918,0.05857130313466471,0.06464453311739624,0.07913247934126186,0.03881501282939344,0.028424667557732246,0.05666884554971266,0.09164479653460032,0.052571244597508254,0.011961092303339527,0.021546551673674842,0.037205241026741706,0.04591264305017608,0.033766183084713006
VT003_40B,0.057674848224083614,-0.00825589932658072,-0.05970971129023343,-0.046002510519709154,-0.001357891163444301,-0.006153931173865329,0.007049981447417252,-0.007634190436340951,-0.008078268215083638,0.026767034823592578,0.013503911831810971,-0.024568356399062102,-0.017670348235925688,0.0147473296122905,0.05968800082105048,0.03366504298672898,0.00021118365477985578,0.009684842934623855,0.04728342820150473,0.05199065265617722,0.011194707382349,0.004207883663464044,0.011579574790592663,0.01815192591598443,0.013119044423567308,-0.019594685277144003,0.013592727387559508,0.036240694103436576,0.01202365256933535,0.02229665185091619,-0.07087086612929965,-0.10616024694671855,-0.007219717842847775,0.008056557745900673,0.0024611777337428054,0.019513764437462004,0.006339457001428947,-0.013288780818997842,-0.025545327512296014,-0.019239423054149853,0.001780258473004024,0.013740753313807077,0.01587232665177197,-0.004644066726140185,-0.04250909866026668,-0.09343001728942818,-0.13594306330772812,-0.20495275012434178,-0.3070610340499104,-0.3906660771945337,-0.5104486567140611,-0.4604454988276346,-0.42542256467746137,-0.4957940900155526,-0.5944977776374273,-0.6795830800445262,-0.7832604387883189,-0.9023324938618582,-0.9445494880276631,-0.9736809903131833,-1.0,-0.9770855866168774,-0.8779082160310103,-0.7625368091136602,-0.6802936044905145,-0.6067839295159749,-0.5387216086273456,-0.45064618251004596,-0.3614161541680153,-0.29406435772537437,-0.2238112531282812,-0.16584430040973575,-0.10589380027947293,-0.06536430167289033,0.0015434169910079187,0.022563098518161795,0.044115673379806895,0.10477669795605798,0.11735890168710081,0.12295428169925868,0.17192125810195236,0.23471385601616834,0.25676971902705514,0.22426322562309045,0.21461193523174937,0.21384220041526206,0.21638824634672013,0.22192441598837895,0.24673356122747045,0.23897700269209818,0.24788816345220144,0.2451940915944958,0.2423815989957921,0.23065794563698513,0.2132500967102718,0.2405460775103223,0.29063805095249745,0.26192102126047034,0.23062834045173564,0.21603298412372599,0.19667119297054478,0.17198046847245135,0.21147378559530106,0.23613490490814495,0.23139807526822298,0.21973363227991505,0.22100665524564408,0.2227237559901158,0.198358688529767,0.17476335588590552,0.16671074549803816,0.1677469269817711,0.12242138836476744,0.14539501211838915,0.16549693290280812,0.1452765913773911,0.19815145223302044,0.19279291370285867,0.14261212470493498,0.16147062770887444
VT000_33C,0.0016447738155005872,0.03255453230725424,0.018392242961941654,-0.008133949780072388,0.011086300045708977,0.006815133417757561,-0.01757547601028077,-0.031007171063970086,0.014233475455778436,0.012772286872531905,-0.001558601155462972,0.03485871430391224,-0.012742313773388381,-0.038537912223779155,-0.02280203517343185,-0.005773568222520288,0.026091582804433022,0.015413666234554483,0.0265973788524799,0.025754385439068436,0.04874000584475433,0.03485871430391224,0.044187841412332424,0.044412639655908824,0.03710669673967614,0.045030834825743896,0.0679602556705357,0.08751770286168163,0.10145519396341782,0.12685739548754993,0.1429304699032618,0.10516436498242827,0.10488336717795779,0.15821675046645634,0.16361190831228972,0.1392212988842514,0.17681880512240264,0.16276891489887826,0.15990273729327928,0.19542085977834894,0.21121293638959032,0.17771799809670819,0.1502364128194945,0.11651667628303598,0.08442672701250628,0.05143758476767101,0.05542775359115194,-0.000996605546521999,-0.04573145601822364,-0.06416491199148765,-0.09979543359834549,-0.17139367417742576,-0.2096093755854121,-0.2679445197934853,-0.331112826238451,-0.42446029688354703,-0.5406809888125408,-0.7116400530523854,-0.8653458520977423,-0.9819599409529948,-1.0,-0.9033929548230463,-0.73844724359887,-0.5989037338988258,-0.5070736513978704,-0.39371913707447564,-0.2959319011187459,-0.23557357271848517,-0.18032940435958728,-0.13671854510576759,-0.12907540482417032,-0.11985867683753833,-0.1042351989089792,-0.09428787663072391,-0.1063145826620608,-0.08799352581058499,-0.0860827407401857,-0.07759660704517696,-0.057252366001513635,-0.04949682659812817,-0.017013480401339796,-0.027972394775688827,-0.029264984676253068,-0.007515754610237316,0.01164829565464995,-0.029545982480723546,-0.036121331105332964,0.01878563988820034,0.02862056304466741,0.03165533933294867,0.04553663087379077,0.0401976725888515,0.02080882408038785,0.011535896532861752,0.028114766996620532,0.0064779360523929755,0.0038365566903703894,0.004398552299311372,0.027327973144103165,0.02406839861224551,0.03289172967261882,0.04059106951511019,0.0014199755719241998,-0.017856473814751264,0.018336043401047556,0.022607210028998972,0.019741032423399998,0.025698185878174337,0.008557319805474589,0.009962308827827022,0.028451964361985115,0.0005769821585127311,-0.00717855724487273,0.014683071942931222,0.041996058537462626,0.018055045596577068,0.020246828471446873,0.012041692580908635,0.04300765063355638,0.038680284444710875
VT000_51D,-0.007727366505992461,-0.005593900632068572,-0.009872554719882964,-0.0060276272108333185,0.0011112778288350808,-0.0034956017780445265,-0.008418984564022732,0.007921957349438267,0.014076185831911022,0.015471144287938181,0.02392295140386744,0.007476508430706905,-0.0005532944464242177,-0.010622784477746311,-0.017667910797681794,-0.018605697995010977,-0.022556126563760152,-0.02226306806459478,-0.033879906971510027,-0.054511225312752036,-0.0635257047470788,-0.07443920325599716,-0.06435799088470845,-0.07836618714481311,-0.092702608923983,0.007823489693718697,0.009945233227675973,0.002173321829810393,0.0033338334865052333,0.012981319279029208,0.013778438396759018,0.01335643415796088,0.010625128945739637,0.0009893654931822926,-0.004567023650993124,-0.001601271639439572,0.0031228313671061853,-0.006501209745484557,-0.029969334358647334,-0.03549055648292289,-0.02443638989440515,-0.04007399140986927,-0.049850422942026004,-0.058255340698088784,-0.07378744115385337,-0.0864827353376972,-0.09991653693943771,-0.13414576964195285,-0.15537492732149222,-0.18654462929272092,-0.2211841438940676,-0.26809694844045995,-0.33027223962338464,-0.3943699945608343,-0.4700963107451658,-0.5606279423073317,-0.688846896862164,-0.8077934805034042,-0.8779634075435602,-0.9019590374552207,-0.8687496483298011,-0.7879123919200256,-0.6946846221655383,-0.6027580321473451,-0.5014887371757601,-0.4095504248176004,-0.33742286700301977,-0.27170742915017726,-0.21369356865540073,-0.16506930247388263,-0.10362079636888798,-0.05174944201661759,-0.03268891723090196,-0.0004993716825777844,0.030611718588817824,0.04426824464992404,0.04937918487536809,0.07942354220980177,0.09766350319785436,0.09667882664065872,0.11757975880113286,0.12829397753061877,0.12484760958043403,0.13035710936474298,0.13427237091359231,0.14190361423185854,0.15286400210064333,0.16321482829116418,0.17050612375039859,0.17430416189958176,0.16024907627961066,0.15733021362792357,0.17246375452482327,0.1861437252658627,0.18589755612656378,0.17859453832736277,0.17074057054973088,0.172897481103588,0.17936821276515935,0.17847731492769664,0.17038890035073243,0.16588752180355237,0.16982622803233494,0.162429431513401,0.1633203293508637,0.17364771086145134,0.1759218448149746,0.17803186600896526,0.1666143068814825,0.17389388000075023,0.17595701183487444,0.1690056642346719,0.17184247050659268,0.1628983251120656,0.16455117504735828,0.1728154247238217,0.15980362736087927,0.14926524373089262,0.15169176810398186,0.15587664347206334
VT000_58D,0.013520897695477797,0.000388963769963771,-0.011438590141472351,-0.004951943584976833,-0.004141112765414893,-0.0016557400358880772,0.009237595757357114,0.008832180347576145,-0.008565428759111563,-0.00715528820335167,-0.007137661446404671,-0.005110584397499821,8.930890186479295e-05,0.008638286021159158,0.009449116840721097,0.00024794971438778116,-0.0023960638276620226,-0.003154014376382966,0.00431973056914448,0.010965017938162985,0.013855806077470775,0.017857079904439476,0.011793475514671924,0.001957745138246655,-0.004934316828029834,-0.0033655354597469504,-0.0021845427442980384,-0.0025547046401850106,-0.0036651903278459284,-0.0005100008343331621,-0.004951943584976833,0.0009177664783737321,0.0032444983953775594,0.007034251138982279,0.010259947660283038,0.008514898722530168,0.00714001168066427,0.036206533886265116,0.06633066150868587,0.10496851273650701,0.12557419160754849,0.14323620206844118,0.18834307309581083,0.20267362649372078,0.18790240417213586,0.17693856135110267,0.15931180440410397,0.12864124731632626,0.11917567883578796,0.09800594374244252,0.05834574061169547,0.0418470961093047,0.036506188754364094,0.011969743084141912,-0.024870178935085356,-0.04822563188985863,-0.0999072832584588,-0.21201345744137046,-0.4836417819946204,-0.8281038662528687,-1.0,-0.9418845823457453,-0.7910700499072245,-0.6516776559703589,-0.5400474042250162,-0.41907497129776417,-0.3142839012478569,-0.23808343096598153,-0.16128365094790825,-0.10320348680754755,-0.052103518418198345,-0.010856907162221395,0.026705711891832823,0.04322198315117059,0.07831685623264499,0.10010352781913537,0.0943572050544138,0.10033267565944637,0.1092165611607337,0.10577934355606895,0.11129651848047954,0.11506864446713727,0.10250076676392719,0.10704847005625286,0.10119638674984929,0.08623127010184739,0.064832387168191,0.07651892702405112,0.08103137680248279,0.07993851787176887,0.07116039291216353,0.06911568910631168,0.05665357194478359,0.04866865104779319,0.04954998889514312,0.04563684885290941,0.03888580094220891,0.0431514761233826,0.04729376400592729,0.04512567290144645,0.03920308256725489,0.030407330850702546,0.022986466176016098,0.01038333495891203,0.014402235542827735,0.010541975771435019,0.018844178293471407,0.02467863484292797,0.008567778993371165,0.005959018965215359,0.0060118992360563535,0.0007414989089037443,-0.0011621908413721135,-0.0033302819458529533,0.010418588472806026,0.012762947146756852,0.0031387378536955673,-0.005974295487902757,-0.007049527661669678,0.0009001397214267326
VT000_59D,-0.017398007351907278,4.017435670811365e-05,-0.003462527368780507,-0.002031315911053974,0.0028649338127473235,0.019097884820119315,-0.006814575256613702,-0.0029352389369865215,0.005162404836992548,-0.005910652230681156,0.0016220396520900716,0.009230058453689011,0.002940260731575036,-0.0028222485587449534,0.0004168089508466754,-0.019921459132635638,-0.026851535664785164,-0.024215093505815237,-0.002219633208123255,0.004748106783440131,-0.01574081513769761,-0.001918325532812406,-0.0014663640198461316,-0.013518671032280095,-0.021465660968603743,-0.02067472832091276,-0.031295823875620195,-0.029600968201996664,-0.017435670811321132,0.0085521161842396,0.0016973665709177827,-0.02594761263885262,-0.025232006909989352,-0.016569411244802445,-0.03453488138521182,-0.047076813370025915,-0.06895928328947631,-0.06496695659160756,-0.07204768696141253,-0.07249964847437881,-0.05570174557579896,-0.06666181226523112,-0.04218056364622461,-0.05784856276238876,-0.09570033947331419,-0.102555089086636,-0.10876955988992226,-0.12850521262278286,-0.1326858566177209,-0.1646244702006709,-0.22040405359259183,-0.2559206958198582,-0.3077832794327381,-0.3862362653918004,-0.4651035494044152,-0.5879994174718277,-0.7429845529598457,-0.8604192194122492,-0.9398891187754856,-0.992655625414298,-1.0,-0.9334110037563024,-0.8348457304702408,-0.7176370447743206,-0.6187704638129482,-0.5160245465319487,-0.4337675511720869,-0.38559598658176486,-0.29663489544623667,-0.22435871683104672,-0.20194895847980232,-0.17121557559809572,-0.1225543860353936,-0.06963722555892575,-0.034045256412831695,-0.006061306068336582,0.036310085772251574,0.09126107305706767,0.08406735230902114,0.09103509230058453,0.08659080408974952,0.0862518329550248,0.09849245726452806,0.11054476427696201,0.1269660325814033,0.15999688648735513,0.15449802141293215,0.1450821565594681,0.13148564771106605,0.14824588715023201,0.16564640539943354,0.16041118454090755,0.14255870477873972,0.15329279071168872,0.1741206837675512,0.1717102223650644,0.16221903059277265,0.15269017536106705,0.1536694253058273,0.1315986380893076,0.12557248458309062,0.12316202318060382,0.14150412791515177,0.12933883052447623,0.13028041700982262,0.1451574834782958,0.11438643713717533,0.10109123596408413,0.12127885020991101,0.1040289857983649,0.09480143824197014,0.12086455215635858,0.12041259064339233,0.09284293835244962,0.09917039953397747,0.09845479380511421,0.09781451499507864,0.08636482333326637,0.060791334391258056,0.05517947893859349
VT000_89D,-0.005572918281468316,-0.0038506524678825517,-0.0021539395595428683,0.001592116349532399,0.008557838319613695,0.006503384737828895,0.00011004784525978296,-0.0053071680669090895,-0.009732931255530073,-0.0020823914248538447,0.001914082955633002,0.0010657265014631593,0.004290503143518403,0.001224154513988853,0.003442146689348561,0.009268209085454707,0.009268209085454707,0.0119308218120962,0.013944390745487272,0.010458974469922016,0.007678818379148556,0.015027833927921045,0.018252610569976287,0.015457122736055182,0.010571407253004766,0.013734856922469417,0.008266535199808387,0.004474484061290176,-0.0011267127686504692,-0.0037995466573903947,-0.009446738716773982,-0.015058156708813058,-0.022473609811225356,-0.03223993019627697,-0.037422059380181914,-0.04294148691333511,-0.04946258833213461,-0.05780305660445499,-0.06361378725741348,-0.07272084268711625,-0.06869881540138333,-0.07671220648655389,-0.08447517910031287,-0.09717497300761442,-0.1071252743104378,-0.10740124568709547,-0.12267677244320185,-0.13392005075147687,-0.14526554068073622,-0.165426782919893,-0.19810383814857957,-0.23017273423240947,-0.27228903265899784,-0.3232108622333852,-0.39478454982765415,-0.48998445361244825,-0.6152243528045335,-0.7566085775310919,-0.9084081664359522,-1.0,-0.9926765373564734,-0.9038750810452978,-0.7773984212393021,-0.6511210740942261,-0.533460166598128,-0.43205090683853664,-0.3556988259632508,-0.2954348542308967,-0.23949954464722847,-0.20216675008270624,-0.17497845890087754,-0.14748353285609592,-0.11584392558040016,-0.09401663391919897,-0.08056047401661348,-0.06360356609531506,-0.05611656485821374,-0.05368392827878696,-0.0505818055819129,-0.04266040495562823,-0.03996712874269144,-0.03943562831357299,-0.039471402380917495,-0.03489232176082003,-0.0291991344719935,-0.029255350863534875,-0.023015331402442243,-0.02397101005864562,-0.01726081714102512,-0.01624381151223115,-0.017664553043913178,-0.0196627902341566,-0.01219112074020293,-0.006595034491311501,-0.009339416514740448,-0.012007139822431158,-0.009145214434870243,-0.009242315474805345,-0.007290073514004866,-0.001116491606552037,-0.0030585124052540866,-0.0035797916722741093,0.0004422356134588181,0.002941309746525401,0.0007999762869039318,-0.0009325106887802645,0.002118506197601638,0.011322662667239506,0.011102907682123221,0.003799887362793675,0.0020469580629126154,0.007781030000132874,0.008936021317255672,0.006595375196714781,0.008251203456660739,0.008598722968007422,0.003753892133350732,0.0026704489509169573,0.005235960637623348,0.008292088105054466
VT000_71D,0.008800995283533522,0.0016395231250379862,-0.0005023282107083747,-0.0030395982545925303,-0.0035338716397647703,-0.004505942630603503,0.0034848104296810087,0.005148864159760877,0.0012660721229078504,-0.003808467964860456,-0.0018808017626887293,0.0005411378246552376,-0.00011789335557441163,-0.0037480567733394043,0.00025555764655571994,0.0013923864324518703,-0.004105031995963797,0.005736500295465649,0.009223873624180883,0.003028980530022168,-0.0005682313287313426,-0.004527910336611158,-0.010634932606739254,-0.012749324309976048,-0.010096723809551704,-0.01819731539987449,-0.02200322046570072,-0.011678398642102865,-0.014814288674695619,-0.021756083773114603,-0.019251765288241934,-0.02037761022113425,-0.014226652538990848,-0.014001483552412384,-0.018850854653602228,-0.02912624913868286,-0.028461726031951292,-0.03789136383573721,-0.04550317396738967,-0.041268898634414165,-0.03686986550638126,-0.03930278894672905,-0.04765600915613987,-0.052571283375352676,-0.062802742448418,-0.07304518537448715,-0.0798991096488755,-0.08175538080652237,-0.09951077918720953,-0.11608541336998524,-0.13138592060431695,-0.16672646764413196,-0.19754166724637004,-0.23696820760360887,-0.29725308481511614,-0.38456922426904294,-0.5205493244564274,-0.6947861846561432,-0.8772883942412392,-1.0,-0.9965345943772924,-0.8965980078219679,-0.763632975284134,-0.6421570529883037,-0.5318572011238678,-0.437286226760913,-0.35567619894247465,-0.284336073682615,-0.23176735320629654,-0.18329560990040578,-0.1492896010005558,-0.11960573825771195,-0.09063582596011689,-0.06823974968531261,-0.04517915030377676,-0.032262139171275614,-0.018878314286111798,-0.004923329044748948,0.004528276465044623,0.013705285649742504,0.028066673452246973,0.044520485251980574,0.04530033881525233,0.04259281904980885,0.047557520607538886,0.05638304649611428,0.06184751336551847,0.06986572605831255,0.06805339031268101,0.06665844098119492,0.07060164420956899,0.07317186581246463,0.07095861943219339,0.07734023802741717,0.07532470100121483,0.08211272215758021,0.09128973134227811,0.08583624832587776,0.08033333797096015,0.09146547299033934,0.08784629342557818,0.07937774275962717,0.08907099303550495,0.09018585411539344,0.09014741062988003,0.088494340752804,0.08882385634291882,0.08982338696626713,0.08689069821424518,0.08945542789063891,0.09203114142003646,0.09348101001654169,0.09504620906958709,0.09355789698756847,0.0926462371882508,0.08966412109771163,0.08736849581991168,0.08731357655489254,0.09192130288999818,0.08344176837104335
