uid,organoid
TC012_46A,TSCp5_32s
TC012_432D,TSCp5_32s
TC012_431D,TSCp5_32s
TC012_430C,TSCp5_32s
TC012_428A,TSCp5_32s
TC012_423B,TSCp5_32s
TC012_416A,TSCp5_32s
TC012_364G,TSCp5_32s
TC012_317F,TSCp5_32s
TC012_309F,TSCp5_32s
TC012_308F,TSCp5_32s
TC012_284E,TSCp5_32s
TC012_154C,TSCp5_32s
TC012_137C,TSCp5_32s
TC011_29H,TSCp5_30s
TC011_27G,TSCp5_30s
TC011_26G,TSCp5_30s
TC011_21G,TSCp5_30s
TC011_14F,TSCp5_30s
TC011_12C,TSCp5_30s
TC011_0A,TSCp5_30s
TC010_97D,TSCp5_32s
TC010_79D,TSCp5_32s
TC010_60D,TSCp5_32s
TC010_35C,TSCp5_32s
TC010_17B,TSCp5_32s
TC010_164H,TSCp5_32s
TC010_162H,TSCp5_32s
TC010_161G,TSCp5_32s
TC010_157G,TSCp5_32s
TC010_13B,TSCp5_32s
TC010_132E,TSCp5_32s
TC010_131E,TSCp5_32s
TC010_130E,TSCp5_32s
TC009_84G,TSCp5_30s
TC009_65G,TSCp5_30s
TC009_38D,TSCp5_30s
TC009_119E,TSCp5_30s
TC008_90B,TSCp5_32s
TC008_75B,TSCp5_32s
TC008_74B,TSCp5_32s
TC008_61A,TSCp5_32s
TC008_390A,TSCp5_32s
TC008_389A,TSCp5_32s
TC008_340G,TSCp5_32s
TC008_336G,TSCp5_32s
TC008_335G,TSCp5_32s
TC008_330F,TSCp5_32s
TC008_32A,TSCp5_32s
TC008_319F,TSCp5_32s
TC008_215D,TSCp5_32s
TC006_84C,TSCp5_32s
TC006_82C,TSCp5_32s
TC006_80A,TSCp5_32s
TC003_4B,TSCp5_32s
TC003_2B,TSCp5_32s
TC002_5D,TSCp5_32s
TC002_4D,TSCp5_32s
TC002_1D,TSCp5_32s
TC000_4D,TSCp5_32s
TC000_1B,TSCp5_32s
TC000_0A,TSCp5_32s
FS003_30F,DLX_bluered
FS003_28C,DLX_bluered
FS003_27A,DLX_bluered
FS003_25F,DLX_bluered
FS003_19D,DLX_bluered
FS001_7B,DLX_bluered
FS001_15C,DLX_bluered
FS001_14C,DLX_bluered
