uid,half_width,asymmetry,latency,rise,organoid,n_spikes,fr,ISI.median,age
TC018_49C,0.3207200735108643,-0.07157486706896135,0.9333333333333333,0.3073920172499877,TSCp5_30s,226,0.12140888,0.12393333,8.52002237654321
TC018_49C,0.3207200735108643,-0.07157486706896135,0.9333333333333333,0.3073920172499877,TSCp5_30s,226,0.12140888,0.12393333,8.52002237654321
TC018_50C,0.27869952987681235,-0.528788430052756,0.8333333333333334,0.14350509046948592,TSCp5_30s,212,0.11388797,0.15906667,8.52002237654321
TC018_32C,0.32904727596962335,-0.08938262381731851,1.3333333333333333,0.5001365596060798,TSCp5_30s,1696,0.91110378,0.03603333,8.52002237654321
TC018_51D,0.07506198585392762,1.077530445217717,1.2666666666666666,0.038541089114833935,TSCp5_30s,844,0.45340306,0.05446667,8.52002237654321
TC020_18C,0.1976753167599701,0.37516142918639694,0.36666666666666664,0.07043169718411472,TSCp5_32s,172,0.26863896,0.0691,8.690661651234567
TC019_1A,0.5037974993801356,0.027050214694159733,1.9666666666666666,0.12319479189119041,TSCp5_32s,117,0.06957183,7.9116,8.521093364197531
TC019_0A,0.18704665518667718,0.5020947027529624,1.1,0.045016476693253316,TSCp5_32s,115,0.06838257,0.07076667,8.521093364197531
TC019_8A,0.36720156837989393,-0.003483666299358118,1.4,0.13466038173010683,TSCp5_32s,81,0.04816511,0.41196667,8.521093364197531
TC019_9A,0.1149245328000146,0.7657928317100668,0.3333333333333333,0.03494658633456898,TSCp5_32s,2416,1.43662851,0.03573333,8.521093364197531
TC019_12B,0.5011854315292602,0.028759860936254752,1.9666666666666666,0.2832544966795806,TSCp5_32s,84,0.049949,11.586,8.521093364197531
TC019_42B,0.10134300273226604,0.4789639591600843,0.6,0.03405720532113913,TSCp5_32s,2520,1.49847013,0.0362,8.521093364197531
TC019_19B,0.4160641208365687,-0.011047553580634858,1.8666666666666667,0.2720781901334533,TSCp5_32s,170,0.10108727,6.6726,8.521093364197531
TC019_25B,0.34282490377529057,-0.029180930876247357,1.9,0.20067979121073876,TSCp5_32s,128,0.07611277,1.31873333,8.521093364197531
TC019_31C,0.13258498063757262,0.1995178688469956,0.3333333333333333,0.052818020594207836,TSCp5_32s,82,0.04875974,7.06603333,8.521093364197531
TC022_0A,0.2745943948340634,0.41833626353900605,1.1,0.08106476245776643,TSCp5_32s,2352,2.04995761,0.0431,8.693157407407407
TC022_5C,0.37834103779212874,-0.11827187829459243,1.0666666666666667,0.381639618617542,TSCp5_32s,1263,1.10080632,0.08846667,8.693157407407407
TC022_6C,0.13578496991032504,0.29218755353469933,0.5333333333333333,0.05101377692868259,TSCp5_32s,5634,4.91048518,0.0138,8.693157407407407
TC022_8C,0.28730599564274445,0.3706642148502958,1.2,0.06107508677481069,TSCp5_32s,142,0.12376445,5.6611,8.693157407407407
TC009_38D,0.5777854990500998,0.022184195388784172,1.5333333333333332,0.17137963413965285,TSCp5_30s,831,0.21435567,0.11271667,5.651020447530865
TC009_119E,0.33743505787612044,0.08747261416317156,1.3333333333333333,0.07688814209792554,TSCp5_30s,5590,1.44193524,0.07616667,5.651020447530865
TC009_65G,0.464351499186711,-0.029105903321727813,1.9333333333333333,0.35621293712469276,TSCp5_30s,653,0.16844074,0.05243333,5.651020447530865
TC009_84G,0.35749569572776685,-0.17413932934633833,1.5,0.09029286539407953,TSCp5_30s,2879,0.74263534,0.0404,5.651020447530865
TC030_111A,0.2511328680418579,0.1886156955203772,0.6666666666666666,0.07726046445210552,TSCp5_30s,120,0.06022974,11.2011,5.989975308641975
TC030_118A,0.40220139215344114,0.07587316801235844,2.0,0.09953152978816154,TSCp5_30s,400,0.2007658,0.51826667,5.989975308641975
TC030_112A,0.32971324789454737,-0.023176655908174613,1.3333333333333333,0.20470701648166098,TSCp5_30s,1349,0.67708266,0.08376667,5.989975308641975
TC030_117B,0.2757768116083139,-0.021407363057636148,1.5333333333333332,0.23695416782215042,TSCp5_30s,153,0.07679292,11.66168333,5.989975308641975
TC030_105D,0.38938527725558836,-0.01671676260662571,1.7,0.17783282204510464,TSCp5_30s,113,0.05671634,13.63508333,5.989975308641975
TC017_0A,0.3665917328872162,0.033479807491106905,1.2,0.18139437391008476,TSCp5_30s,76,0.0599481,12.76416667,8.425413580246914
TC017_4A,0.17092316412053066,-0.0038898768802427958,1.1,0.09095715954282682,TSCp5_30s,287,0.22638297,0.04688333,8.425413580246914
TC017_20B,0.22030060913236582,0.5496165946968229,0.5333333333333333,0.07326862009491819,TSCp5_30s,4518,3.56375702,0.25946667,8.425413580246914
TC017_26B,0.41104763892804,0.024488610359742747,1.9,0.09717786705054673,TSCp5_30s,986,0.77774777,0.06176667,8.425413580246914
TC017_28B,0.24645926701257395,-0.033307737128781795,1.3333333333333333,0.3017344029965535,TSCp5_30s,557,0.4393565,0.02373333,8.425413580246914
